route,year_month,rides,moving_avg,pct_diff
1,2001-01,153617,153617.0,0.0
1,2001-02,148028,150822.5,-0.018528402592451393
1,2001-03,166579,156074.66666666666,0.06730325656096234
1,2001-04,144376,153150.0,-0.057290238328436174
1,2001-05,157810,154082.0,0.024194909204189978
1,2001-06,136947,151226.16666666666,-0.09442259221012231
1,2001-07,130060,148202.42857142858,-0.12241654031117676
1,2001-08,131975,146174.0,-0.0971376578598109
1,2001-09,134535,144880.77777777778,-0.07140890555989717
1,2001-10,178852,148277.9,0.2061945846279183
1,2001-11,150439,148474.36363636365,0.013232158842236543
1,2001-12,147982,148433.33333333334,-0.003040646754996697
1,2002-01,167553,149594.66666666666,0.12004661485257949
1,2002-02,154924,150169.33333333334,0.03166203485842642
1,2002-03,161818,149772.58333333334,0.0804247105750885
1,2002-04,161044,151161.58333333334,0.06537650935340156
1,2002-05,164878,151750.58333333334,0.08650653182552284
1,2002-06,151539,152966.58333333334,-0.009332648361652035
1,2002-07,162832,155697.58333333334,0.04582226977404374
1,2002-08,144590,156748.83333333334,-0.07756889205980273
1,2002-09,144680,157594.25,-0.08194620044830316
1,2002-10,164525,156400.33333333334,0.05194788587407096
1,2002-11,141533,155658.16666666666,-0.09074478370874635
1,2002-12,135202,154593.16666666666,-0.12543353037380905
1,2003-01,169316,154740.08333333334,0.094196127807867
1,2003-02,152933,154574.16666666666,-0.010617341190043553
1,2003-03,151943,153751.25,-0.011760879992845587
1,2003-04,144983,152412.83333333334,-0.048748082237169504
1,2003-05,152829,151408.75,0.009380237271623997
1,2003-06,145110,150873.0,-0.03819768944741604
1,2003-07,154993,150219.75,0.0317751161215486
1,2003-08,139887,149827.83333333334,-0.06634837541311311
1,2003-09,79654,144409.0,-0.4484138800213283
1,2003-10,91903,138357.16666666666,-0.33575540599631626
1,2003-11,65969,132060.16666666666,-0.5004625416950101
1,2003-12,65878,126283.16666666667,-0.47833110509582305
1,2004-01,70077,118013.25,-0.4061937960356146
1,2004-02,65572,110733.16666666667,-0.40783776014112005
1,2004-03,78834,104640.75,-0.24662237225937314
1,2004-04,71775,98540.08333333333,-0.2716162035584504
1,2004-05,74210,91988.5,-0.19326872380786728
1,2004-06,72260,85917.66666666667,-0.15896226232090416
1,2004-07,60499,78043.16666666667,-0.22480080468287855
1,2004-08,61766,71533.08333333333,-0.13653938678723243
1,2004-09,70790,70794.41666666667,-6.238721744777213e-05
1,2004-10,70602,69019.33333333333,0.02293077302012004
1,2004-11,67083,69112.16666666667,-0.029360484044054058
1,2004-12,65499,69080.58333333333,-0.05184645468396202
1,2005-01,65555,68703.75,-0.045830831650382986
1,2005-02,66762,68802.91666666667,-0.029663228908658253
1,2005-03,71750,68212.58333333333,0.051858711308153144
1,2005-04,66843,67801.58333333333,-0.014138067080537626
1,2005-05,65376,67065.41666666667,-0.025190578850252002
1,2005-06,62921,66287.16666666667,-0.050781574110624804
1,2005-07,55600,65878.91666666667,-0.15602740887006092
1,2005-08,66656,66286.41666666667,0.005575551552165592
1,2005-09,71738,66365.41666666667,0.08095456343351512
1,2005-10,68608,66199.25,0.03638636389385076
1,2005-11,69179,66373.91666666667,0.042261832270959775
1,2005-12,61700,66057.33333333333,-0.06596290091435715
1,2006-01,59926,65588.25,-0.08633024970173774
1,2006-02,62643,65245.0,-0.039880450609242085
1,2006-03,71298,65207.333333333336,0.0934046272914089
1,2006-04,55406,64254.25,-0.1377068442943463
1,2006-05,64240,64159.583333333336,0.0012533851139411114
1,2006-06,61984,64081.5,-0.032731755654908205
1,2006-07,53821,63933.25,-0.15816887144013483
1,2006-08,61857,63533.333333333336,-0.026385099685204656
1,2006-09,61052,62642.833333333336,-0.025395296615468153
1,2006-10,74508,63134.5,0.18014714617206123
1,2006-11,68079,63042.833333333336,0.0798848402012388
1,2006-12,61287,63008.416666666664,-0.027320424123232177
1,2007-01,61695,63155.833333333336,-0.023130616068718947
1,2007-02,60222,62954.083333333336,-0.043398032163653705
1,2007-03,70026,62848.083333333336,0.11421058982175268
1,2007-04,64891,63638.5,0.01968148212167163
1,2007-05,68216,63969.833333333336,0.06637764154458217
1,2007-06,62564,64018.166666666664,-0.02271490644582654
1,2007-07,57424,64318.416666666664,-0.10719195253821802
1,2007-08,61661,64302.083333333336,-0.041073060100437424
1,2007-09,61089,64305.166666666664,-0.05001412535540168
1,2007-10,71529,64056.916666666664,0.11664756473084488
1,2007-11,61575,63514.916666666664,-0.03054269403906428
1,2007-12,53867,62896.583333333336,-0.14356238216437303
1,2008-01,62612,62973.0,-0.0057326155654010445
1,2008-02,63760,63267.833333333336,0.007779097856467308
1,2008-03,62502,62640.833333333336,-0.002216339182375752
1,2008-04,69481,63023.333333333336,0.1024646956153805
1,2008-05,68828,63074.333333333336,0.09122041189495987
1,2008-06,65387,63309.583333333336,0.03281362089731014
1,2008-07,65801,64007.666666666664,0.028017477073058995
1,2008-08,60059,63874.166666666664,-0.05972941590888332
1,2008-09,72887,64857.333333333336,0.12380506958863553
1,2008-10,79901,65555.0,0.2188391427045992
1,2008-11,59659,65395.333333333336,-0.08771777802697443
1,2008-12,61685,66046.83333333333,-0.06604152104188687
1,2009-01,63330,66106.66666666667,-0.0420028237192417
1,2009-02,60629,65845.75,-0.07922682937015676
1,2009-03,71247,66574.5,0.07018453011288106
1,2009-04,68186,66466.58333333333,0.02586888900312069
1,2009-05,62551,65943.5,-0.05144555566507692
1,2009-06,62885,65735.0,-0.043355898684110446
1,2009-07,60458,65289.75,-0.07400472509084505
1,2009-08,56495,64992.75,-0.13074919894911355
1,2009-09,62868,64157.833333333336,-0.020104066274058544
1,2009-10,69857,63320.833333333336,0.10322300454036977
1,2009-11,58008,63183.25,-0.08190857545314621
1,2009-12,57340,62821.166666666664,-0.0872503163742581
1,2010-01,59696,62518.333333333336,-0.0451440910666205
1,2010-02,60172,62480.25,-0.03694367420104753
1,2010-03,65610,62010.5,0.05804662113674297
1,2010-04,60746,61390.5,-0.010498367011182511
1,2010-05,55965,60841.666666666664,-0.0801534036433365
1,2010-06,61300,60709.583333333336,0.009725263035078167
1,2010-07,56821,60406.5,-0.059356195111453236
1,2010-08,61475,60821.5,0.010744555790304415
1,2010-09,64639,60969.083333333336,0.06019307599890104
1,2010-10,63751,60460.25,0.05442832274097444
1,2010-11,61584,60758.25,0.013590746935601338
1,2010-12,54953,60559.333333333336,-0.09257587600039634
1,2011-01,62888,60825.333333333336,0.033911308884455996
1,2011-02,57073,60567.083333333336,-0.05768947654460278
1,2011-03,68133,60777.333333333336,0.12102647916986592
1,2011-04,61176,60813.166666666664,0.0059663614513304816
1,2011-05,63010,61400.25,0.02621731996205227
1,2011-06,62037,61461.666666666664,0.009360848225181047
1,2011-07,53639,61196.5,-0.12349562474978144
1,2011-08,64096,61414.916666666664,0.04365524662168126
1,2011-09,64925,61438.75,0.056743504709975384
1,2011-10,63452,61413.833333333336,0.03318741977241822
1,2011-11,59399,61231.75,-0.029931367305360373
1,2011-12,55082,61242.5,-0.10059190921337306
1,2012-01,57430,60787.666666666664,-0.05523598536983924
1,2012-02,62635,61251.166666666664,0.02259276694049369
1,2012-03,66850,61144.25,0.09331621534322525
1,2012-04,63666,61351.75,0.03772101040312623
1,2012-05,66854,61672.083333333336,0.08402370062089136
1,2012-06,56328,61196.333333333336,-0.07955269651231832
1,2012-07,51397,61009.5,-0.1575574295806391
1,2012-08,59009,60585.583333333336,-0.02602241732425347
1,2012-09,53625,59643.916666666664,-0.1009141753769244
1,2012-10,68516,60065.916666666664,0.140680169424979
1,2012-11,59181,60047.75,-0.014434345999641952
1,2012-12,44899,59199.166666666664,-0.24156026971100378
1,2013-01,45528,58207.333333333336,-0.21783051391004574
1,2013-02,46046,56824.916666666664,-0.18968644916622546
1,2013-03,47400,55204.083333333336,-0.14136786379026917
1,2013-04,51295,54173.166666666664,-0.05312900913428846
1,2013-05,50246,52789.166666666664,-0.04817591993306703
1,2013-06,46385,51960.583333333336,-0.10730409428942135
1,2013-07,45300,51452.5,-0.11957630824546912
